,equipo,puntos,golesFavor,golesEnContra,partidos,ganados,empatados,perdidos,diferenciaGoles,ganadosLocal,ganadosVisitante,empatadosLocal,empatadosVisitante,perdidosLocal,perdidosVisitante,torneo
0,Unión Santa Fe,31,29,32,24,10,4,10,-3,5,4,2,2,5,6,Liga Profesional Argentina 2021
1,Boca Juniors,38,27,18,24,7,8,9,9,5,5,4,4,2,4,Liga Profesional Argentina 2021
2,Central Córdoba SdE,26,29,28,24,10,8,6,1,5,1,3,5,5,5,Liga Profesional Argentina 2021
3,Banfield,25,20,25,23,9,10,4,-5,3,2,2,8,6,2,Liga Profesional Argentina 2021
4,Arsenal de Sarandí,20,12,34,24,7,8,9,-22,4,0,6,2,3,9,Liga Profesional Argentina 2021
5,San Lorenzo,24,20,31,24,9,6,9,-11,5,1,2,4,4,8,Liga Profesional Argentina 2021
6,Newell's Old Boys,27,22,29,23,10,6,7,-7,6,1,2,4,4,6,Liga Profesional Argentina 2021
7,Talleres Córdoba,46,37,26,24,9,4,11,11,8,6,2,2,1,5,Liga Profesional Argentina 2021
8,Independiente,35,25,23,24,8,8,8,2,6,3,5,3,2,5,Liga Profesional Argentina 2021
9,Argentinos Juniors,29,22,22,23,8,8,7,0,5,2,3,5,3,5,Liga Profesional Argentina 2021
10,Sarmiento,24,23,31,24,11,6,7,-8,5,1,2,4,6,6,Liga Profesional Argentina 2021
11,Estudiantes La Plata,39,41,28,24,6,9,9,13,5,5,5,4,1,4,Liga Profesional Argentina 2021
12,Aldosivi,27,23,35,23,12,3,8,-12,5,3,0,3,7,5,Liga Profesional Argentina 2021
13,Patronato,24,23,35,24,7,9,8,-12,4,1,4,5,3,7,Liga Profesional Argentina 2021
14,Gimnasia La Plata,35,27,28,24,7,8,9,-1,5,4,6,2,2,5,Liga Profesional Argentina 2021
15,Platense,28,33,34,24,6,10,8,-1,3,3,5,5,3,5,Liga Profesional Argentina 2021
16,Vélez Sarsfield,39,32,18,24,8,9,7,14,7,3,5,4,1,4,Liga Profesional Argentina 2021
17,Racing Club,29,22,22,24,7,8,9,0,3,4,4,4,4,5,Liga Profesional Argentina 2021
18,Godoy Cruz,31,34,31,24,8,7,9,3,4,4,5,2,4,5,Liga Profesional Argentina 2021
19,Rosario Central,32,38,37,24,10,5,9,1,6,3,1,4,4,6,Liga Profesional Argentina 2021
20,CA Huracán,35,24,24,24,9,8,7,0,6,3,4,4,3,4,Liga Profesional Argentina 2021
21,Defensa y Justicia,44,41,23,24,8,8,8,18,7,5,3,5,1,3,Liga Profesional Argentina 2021
22,Lanús,37,43,41,24,6,7,11,2,4,6,7,0,2,5,Liga Profesional Argentina 2021
23,Atl.Tucumán,21,21,45,24,6,6,12,-24,3,2,5,1,3,10,Liga Profesional Argentina 2021
24,River Plate,53,52,18,24,11,5,8,34,9,7,2,3,2,1,Liga Profesional Argentina 2021
25,Colón,39,26,28,24,9,6,9,-2,7,4,3,3,2,5,Liga Profesional Argentina 2021
